S1 S1.x S1.y S1.lon S1.lat S2 S2.x S2.y S2.lon S2.lat dist.h alpha label 
395 703351.360837 6173000.227782 3.040820 42.656600 216 708000.643632 6158410.654464 3.097230 42.525400 15312.461596 162.324396 N 
395 703351.360837 6173000.227782 3.040820 42.656600 978 708583.862962 6205545.050795 3.105080 42.949200 32962.775724 9.133753 N 
395 703351.360837 6173000.227782 3.040820 42.656600 1308 709020.919855 6216609.095610 3.110620 43.048700 43975.871256 7.407437 N 
395 703351.360837 6173000.227782 3.040820 42.656600 504 709467.254204 6182415.531786 3.115480 42.741200 11227.292690 33.006520 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 762 711731.884553 6189937.217948 3.143270 42.808800 18896.952496 26.326480 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 136 714005.577623 6147841.453574 3.169930 42.430300 27321.717644 157.048354 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 32 714635.573031 6140733.727118 3.177380 42.366400 34182.751644 160.724292 N 
395 703351.360837 6173000.227782 3.040820 42.656600 302 717112.696714 6171620.500626 3.208390 42.644000 13830.329430 95.725407 E 
395 703351.360837 6173000.227782 3.040820 42.656600 196 717553.306799 6157773.124181 3.213300 42.519500 20822.102516 136.995085 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 529 718517.547504 6184892.952224 3.225960 42.763300 19273.041085 51.897859 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1073 719086.033078 6210715.828658 3.233830 42.995500 40866.201927 22.645540 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1621 721196.654846 6221918.903512 3.260140 43.096200 52071.982423 20.041723 N 
395 703351.360837 6173000.227782 3.040820 42.656600 849 723392.255785 6201556.402370 3.286180 42.913000 34886.853934 35.061409 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 18 723991.327596 6132906.365701 3.290420 42.295800 45094.633876 152.760990 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 1227 725688.484041 6214230.129230 3.314890 43.026900 46891.916643 28.447505 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 43 726063.782134 6142872.178137 3.315990 42.385300 37730.007376 142.988712 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 147 726064.988560 6151627.662599 3.316430 42.464000 31188.065455 133.257651 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 306 726909.024187 6169963.088770 3.327600 42.628800 23752.635977 97.346256 E 
395 703351.360837 6173000.227782 3.040820 42.656600 21 728461.965055 6135984.122638 3.344700 42.323300 44729.570580 145.848220 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 2617 728265.969744 6241546.101622 3.347960 43.272500 72933.356960 19.974865 N 
395 703351.360837 6173000.227782 3.040820 42.656600 1632 729462.868740 6225876.126050 3.361810 43.131500 58971.785310 26.281370 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 273 730885.818066 6161426.968335 3.375520 42.551900 29867.819959 112.797948 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 1916 730862.180665 6234287.580430 3.379490 43.207100 67178.752610 24.174477 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 23 733401.875882 6129598.580932 3.404130 42.265700 52789.548243 145.301972 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 915 734930.623880 6204610.905852 3.427540 42.940000 44682.041386 44.971515 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 725 735553.699342 6196207.483894 3.434600 42.864400 39693.416852 54.220843 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 412 737739.280231 6172519.706130 3.459630 42.651300 34391.276529 90.800574 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1184 739115.971672 6210317.018891 3.479190 42.991100 51688.009120 43.783274 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1279 739093.725502 6221502.431991 3.479750 43.091700 60249.319041 36.387336 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 490 739367.244445 6183095.522969 3.480240 42.746300 37403.995201 74.341752 E 
395 703351.360837 6173000.227782 3.040820 42.656600 188 741624.669733 6160741.617736 3.506030 42.545200 40188.551779 107.759813 E 
395 703351.360837 6173000.227782 3.040820 42.656600 2589 743577.001741 6241220.524692 3.536410 43.268800 79196.660893 30.525442 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 418 747691.587758 6176244.635625 3.581170 42.684200 44458.766353 85.815083 E 
395 703351.360837 6173000.227782 3.040820 42.656600 837 747994.782641 6204872.788781 3.587460 42.941600 54853.397844 54.475579 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 120 749038.350925 6146275.578414 3.594830 42.414700 52929.273064 120.325541 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 2834 750396.412469 6252264.684880 3.621420 43.367700 92174.242835 30.689984 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 542 750994.975251 6185267.584176 3.622290 42.765100 49197.581519 75.561021 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1256 751106.915824 6217828.526737 3.626810 43.057900 65499.384876 46.810937 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 671 751554.683313 6198305.960124 3.630390 42.882300 54442.082869 62.301470 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 2342 753523.489448 6241796.068579 3.658900 43.273300 85147.578945 36.102903 NE 
